trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,False,"{'a': 0.2, 'e': 0.985}",35,0,-244.2723968103175,"{0: 16, 1: 3, 2: 13, 3: 0, 4: 3}",0
16,False,"{'a': 0.2, 'e': 0.984}",20,0,-53.10768896759548,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.2, 'e': 0.983}",20,0,-103.14887720749157,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.982}",20,0,-52.80215501280744,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.2, 'e': 0.981}",20,0,-103.46508152658888,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.2, 'e': 0.98}",25,0,-69.66766950656985,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.979}",25,0,-94.27447623570286,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.2, 'e': 0.978}",30,1,-124.60173387949216,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 1}",1
23,False,"{'a': 0.2, 'e': 0.977}",20,0,-111.57095972212633,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.2, 'e': 0.976}",20,0,-78.15127874884585,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.975}",20,0,-112.40379520315369,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
26,False,"{'a': 0.2, 'e': 0.974}",35,0,-247.78065318856844,"{0: 16, 1: 4, 2: 10, 3: 3, 4: 2}",0
27,False,"{'a': 0.2, 'e': 0.973}",20,0,-11.164197180130703,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.2, 'e': 0.972}",20,0,-38.466089752828545,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.2, 'e': 0.971}",35,0,-124.32719368409914,"{0: 24, 1: 3, 2: 4, 3: 3, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.97}",20,0,-10.844573057584155,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.2, 'e': 0.969}",30,0,-90.53125745059323,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
32,False,"{'a': 0.2, 'e': 0.968}",20,0,-112.4599910414476,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
33,False,"{'a': 0.2, 'e': 0.967}",20,0,-128.4221860660277,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
34,False,"{'a': 0.2, 'e': 0.966}",20,0,-39.23714621772747,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.2, 'e': 0.965}",20,0,-148.33073874986223,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
36,False,"{'a': 0.2, 'e': 0.964}",25,0,-118.84553123282386,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
37,False,"{'a': 0.2, 'e': 0.963}",30,0,-167.4748035860711,"{0: 15, 1: 5, 2: 6, 3: 3, 4: 1}",0
38,False,"{'a': 0.2, 'e': 0.962}",35,0,-128.5585263791262,"{0: 23, 1: 4, 2: 6, 3: 0, 4: 2}",0
39,False,"{'a': 0.2, 'e': 0.961}",35,0,-123.19514705077195,"{0: 24, 1: 5, 2: 3, 3: 1, 4: 2}",0
40,False,"{'a': 0.2, 'e': 0.96}",25,0,-106.2845592559346,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
41,False,"{'a': 0.2, 'e': 0.959}",25,0,-81.74289301149544,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
42,False,"{'a': 0.2, 'e': 0.958}",20,0,-170.18813763128475,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",0
43,False,"{'a': 0.2, 'e': 0.957}",20,0,-111.34381211164353,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
44,False,"{'a': 0.2, 'e': 0.956}",25,0,-156.93226371694115,"{0: 13, 1: 1, 2: 9, 3: 0, 4: 2}",0
45,False,"{'a': 0.2, 'e': 0.955}",20,0,-70.6730264232202,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.954}",30,0,-125.77099873376484,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
47,False,"{'a': 0.2, 'e': 0.953}",20,0,-97.97890199472243,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.2, 'e': 0.952}",25,0,-144.3124028524127,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
49,False,"{'a': 0.2, 'e': 0.951}",30,0,-127.59281798726946,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.2, 'e': 0.95}",25,0,-80.65938806398954,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
51,False,"{'a': 0.2, 'e': 0.949}",30,0,-120.40982554130758,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.948}",30,0,-84.08399376722586,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.947}",20,0,-107.34253352580033,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.946}",20,0,-121.02924257494706,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
