trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
19,False,"{'a': 0.5, 'e': 0.981}",35,0,-130.0623204010619,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-58.710874550785434,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-125.79515063429712,"{0: 9, 1: 1, 2: 7, 3: 3, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.978}",30,0,-202.0144437884266,"{0: 18, 1: 0, 2: 8, 3: 1, 4: 3}",1
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-227.91371155955122,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-53.25580272414864,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.975}",35,0,-154.69740861579194,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.974}",30,0,-173.82680702031863,"{0: 21, 1: 0, 2: 5, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,0,-75.42094406796605,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.972}",20,0,-151.7726940749708,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,-109.50450279887829,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.97}",25,0,-132.58450433725793,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.969}",35,0,-133.54487453540364,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.968}",30,13,-9.472105448441708,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.967}",20,0,-149.26155177228847,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,14,9.655775544792943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.965}",35,8,-91.22577698004375,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.964}",25,0,-117.57746583511867,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.963}",30,18,-33.46374668683024,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.962}",25,0,-102.06380430990399,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.961}",30,0,-167.6639605061021,"{0: 20, 1: 3, 2: 3, 3: 1, 4: 3}",0
40,False,"{'a': 0.5, 'e': 0.96}",30,6,-53.295005244875064,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.959}",20,0,-108.07523853352897,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.958}",20,0,-151.12930408016413,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.957}",35,14,-77.08601699500089,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.956}",30,0,-92.14104691029546,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-179.82527717511263,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.954}",20,0,-26.7494964906253,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.953}",35,0,-136.54658232142077,"{0: 23, 1: 3, 2: 5, 3: 3, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.952}",25,0,-173.410919697785,"{0: 14, 1: 3, 2: 3, 3: 3, 4: 2}",0
49,False,"{'a': 0.5, 'e': 0.951}",30,0,-126.4746712691292,"{0: 15, 1: 5, 2: 8, 3: 2, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.95}",30,7,-99.6126763790402,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.949}",30,0,-175.82386371772492,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.948}",25,14,-4.151035451992614,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.947}",30,0,-186.24802146684962,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.946}",20,0,-31.646539311929676,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.945}",20,0,-177.95763935491937,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
56,False,"{'a': 0.5, 'e': 0.944}",25,0,-228.28850308154045,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0
57,False,"{'a': 0.5, 'e': 0.943}",25,0,-116.74830128852862,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.942}",25,0,-113.8522857372118,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.941}",30,0,-175.06376394113033,"{0: 17, 1: 7, 2: 2, 3: 1, 4: 3}",0
60,False,"{'a': 0.5, 'e': 0.94}",20,4,-61.83830850548287,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.939}",25,0,-80.00266638024632,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.938}",25,11,-84.64130865299514,"{0: 9, 1: 2, 2: 0, 3: 2, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.9369999999999999}",20,0,-61.68912654647725,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9359999999999999}",25,0,-121.0508905000685,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9349999999999999}",35,7,-81.33462594223289,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,0,-87.11569998636865,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.9329999999999999}",25,0,-166.99157969315954,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9319999999999999}",30,0,-131.40440063683786,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9309999999999999}",25,0,-58.5146531118675,"{0: 15, 1: 7, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-207.84509854643787,"{0: 17, 1: 2, 2: 6, 3: 2, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.9289999999999999}",20,0,-61.22299038669935,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,0,-76.74013349417793,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.9269999999999999}",20,0,-75.62596302951103,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-53.693292861805524,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-31.19069083342405,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
